#Wavelength,Transmission,Transmission,Transmission
#nm,,,
#,Mr. Blue,Mr. White,Three sisters
699.172388,0.025054604988576,0.0262669411831316,1.13000985742793E-4
699.20624,0.0250670023927881,0.0262799716305192,1.1312414176554E-4
699.240092,0.0250793939021462,0.0262929951542849,1.13247341951909E-4
699.273943,0.0250917795018461,0.0263060117377317,1.1337058615394E-4
699.307795,0.0251041591770849,0.0263190213641652,1.13493874223408E-4
699.341646,0.025116532913061,0.0263320240168931,1.13617206011822E-4
699.375497,0.0251289006949739,0.0263450196792255,1.13740581370423E-4
699.409348,0.0251412625080244,0.0263580083344752,1.1386400015019E-4
699.443198,0.0251536183374147,0.0263709899659572,1.13987462201834E-4
699.477048,0.0251659681683484,0.0263839645569891,1.14110967375802E-4
699.510899,0.0251783119860302,0.0263969320908911,1.14234515522275E-4
699.544748,0.0251906497756663,0.026409892550986,1.1435810649117E-4
699.578598,0.0252029815224646,0.0264228459205991,1.14481740132138E-4
699.612447,0.025215307211634,0.0264357921830583,1.14605416294568E-4
699.646297,0.0252276268283853,0.0264487313216945,1.14729134827583E-4
699.680145,0.0252399403579304,0.026461663319841,1.14852895580042E-4
699.713994,0.0252522477854832,0.0264745881608339,1.14976698400539E-4
699.747843,0.0252645490962587,0.0264875058280123,1.15100543137408E-4
699.781691,0.0252768442754739,0.026500416304718,1.15224429638715E-4
699.815539,0.0252891333083471,0.0265133195742955,1.15348357752267E-4
699.849387,0.0253014161800985,0.0265262156200925,1.15472327325604E-4
699.883234,0.0253136928759499,0.0265391044254594,1.15596338206006E-4
699.917082,0.0253259633811248,0.0265519859737497,1.15720390240488E-4
699.950929,0.0253382276808484,0.0265648602483198,1.15844483275805E-4
699.984776,0.0253504857603478,0.0265777272325293,1.15968617158448E-4
700.018622,0.0253627376048517,0.0265905869097407,1.16092791734647E-4
700.052469,0.0253749831995909,0.0266034392633196,1.16217006850369E-4
700.086315,0.0253872225297979,0.026616284276635,1.1634126235132E-4
700.120161,0.025399455580707,0.0266291219330588,1.16465558082945E-4
700.154007,0.0254116823375547,0.0266419522159662,1.16589893890426E-4
700.187852,0.0254239027855791,0.0266547751087358,1.16714269618687E-4
700.221698,0.0254361169100206,0.0266675905947492,1.16838685112389E-4
700.255543,0.0254483246961213,0.0266803986573916,1.16963140215932E-4
700.289388,0.0254605261291256,0.0266931992800514,1.17087634773458E-4
700.323232,0.0254727211942799,0.0267059924461204,1.17212168628846E-4
700.357077,0.0254849098768327,0.026718778138994,1.17336741625718E-4
700.390921,0.0254970921620344,0.0267315563420708,1.17461353607434E-4
700.424765,0.0255092680351378,0.026744327038753,1.17586004417095E-4
700.458609,0.0255214374813979,0.0267570902124465,1.17710693897545E-4
700.492452,0.0255336004860718,0.0267698458465605,1.17835421891365E-4
700.526295,0.0255457570344189,0.0267825939245081,1.1796018824088E-4
700.560138,0.0255579071117007,0.0267953344297058,1.18084992788156E-4
700.593981,0.0255700507031813,0.0268080673455738,1.18209835375001E-4
700.627824,0.025582187794127,0.0268207926555361,1.18334715842963E-4
700.661666,0.0255943183698063,0.0268335103430205,1.18459634033334E-4
700.695508,0.0256064424154903,0.0268462203914584,1.18584589787148E-4
700.72935,0.0256185599164523,0.0268589227842852,1.18709582945182E-4
700.763192,0.0256306708579685,0.0268716175049401,1.18834613347953E-4
700.797033,0.0256427752253169,0.0268843045368661,1.18959680835726E-4
700.830875,0.0256548730037786,0.0268969838635102,1.19084785248504E-4
700.864716,0.025666964178637,0.0269096554683234,1.19209926426038E-4
700.898556,0.025679048735178,0.0269223193347607,1.1933510420782E-4
700.932397,0.0256911266586901,0.026934975446281,1.19460318433087E-4
700.966237,0.0257031979344647,0.0269476237863474,1.1958556894082E-4
701.000077,0.0257152625477954,0.026960264338427,1.19710855569745E-4
701.033917,0.0257273204839789,0.0269728970859912,1.19836178158332E-4
701.067757,0.0257393717283143,0.0269855220125154,1.19961536544797E-4
701.101596,0.0257514162661037,0.0269981391014793,1.20086930567101E-4
701.135436,0.0257634540826518,0.0270107483363669,1.20212360062948E-4
701.169274,0.0257754851632662,0.0270233497006664,1.20337824869793E-4
701.203113,0.0257875094932572,0.0270359431778703,1.20463324824831E-4
701.236952,0.025799527057938,0.0270485287514754,1.20588859765007E-4
701.27079,0.0258115378426249,0.0270611064049831,1.20714429527013E-4
701.304628,0.0258235418326369,0.0270736761218991,1.20840033947285E-4
701.338466,0.0258355390132958,0.0270862378857336,1.20965672862008E-4
701.372303,0.0258475293699268,0.0270987916800011,1.21091346107114E-4
701.406141,0.0258595128878579,0.0271113374882209,1.21217053518281E-4
701.439978,0.0258714895524199,0.0271238752939167,1.21342794930937E-4
701.473815,0.025883459348947,0.027136405080617,1.21468570180258E-4
701.507652,0.0258954222627765,0.0271489268318546,1.21594379101165E-4
701.541488,0.0259073782792486,0.0271614405311674,1.21720221528332E-4
701.575324,0.0259193273837067,0.0271739461620975,1.21846097296179E-4
701.60916,0.0259312695614975,0.0271864437081923,1.21972006238876E-4
701.642996,0.0259432047979709,0.0271989331530036,1.22097948190342E-4
701.676831,0.02595513307848,0.0272114144800881,1.22223922984247E-4
701.710667,0.0259670543883812,0.0272238876730074,1.2234993045401E-4
701.744502,0.0259789687130341,0.027236352715328,1.22475970432799E-4
701.778337,0.0259908760378018,0.0272488095906213,1.22602042753534E-4
701.812171,0.0260027763480506,0.0272612582824636,1.22728147248886E-4
701.846006,0.0260146696291503,0.0272736987744363,1.22854283751276E-4
701.87984,0.0260265558664741,0.0272861310501258,1.22980452092876E-4
701.913674,0.0260384350453987,0.0272985550931235,1.23106652105611E-4
701.947508,0.0260503071513042,0.027310970887026,1.23232883621157E-4
701.981341,0.0260621721695741,0.027323378415435,1.23359146470942E-4
702.015174,0.0260740300855958,0.0273357776619573,1.23485440486148E-4
702.049007,0.0260858808847598,0.027348168610205,1.23611765497706E-4
702.08284,0.0260977245524607,0.0273605512437954,1.23738121336304E-4
702.116673,0.0261095610740962,0.0273729255463512,1.23864507832382E-4
702.150505,0.0261213904350682,0.0273852915015002,1.23990924816132E-4
702.184337,0.0261332126207819,0.0273976490928758,1.24117372117502E-4
702.218169,0.0261450276166463,0.0274099983041166,1.24243849566192E-4
702.252001,0.0261568354080742,0.0274223391188667,1.24370356991659E-4
702.285832,0.0261686359804822,0.0274346715207756,1.24496894223113E-4
702.319663,0.0261804293192907,0.0274469954934984,1.24623461089519E-4
702.353494,0.0261922154099239,0.0274593110206957,1.24750057419598E-4
702.387325,0.0262039942378098,0.0274716180860337,1.24876683041827E-4
702.421155,0.0262157657883805,0.027483916673184,1.25003337784437E-4
702.454986,0.0262275300470718,0.027496206765824,1.25130021475417E-4
702.488816,0.0262392869993235,0.027508488347637,1.25256733942512E-4
702.522645,0.0262510366305796,0.0275207614023115,1.25383475013224E-4
702.556475,0.0262627789262879,0.0275330259135421,1.25510244514811E-4
702.590304,0.0262745138719002,0.0275452818650292,1.2563704227429E-4
702.624133,0.0262862414528726,0.0275575292404788,1.25763868118435E-4
702.657962,0.0262979616546652,0.027569768023603,1.25890721873778E-4
702.691791,0.026309674462742,0.0275819981981196,1.2601760336661E-4
702.725619,0.0263213798625717,0.0275942197477524,1.26144512422979E-4
702.759448,0.0263330778396266,0.0276064326562312,1.26271448868693E-4
702.793276,0.0263447683793836,0.0276186369072917,1.2639841252932E-4
702.827103,0.0263564514673237,0.0276308324846757,1.26525403230186E-4
702.860931,0.0263681270889323,0.0276430193721311,1.26652420796378E-4
702.894758,0.0263797952296991,0.0276551975534117,1.26779465052744E-4
702.928585,0.0263914558751179,0.0276673670122778,1.2690653582389E-4
702.962412,0.0264031090106873,0.0276795277324956,1.27033632934185E-4
702.996239,0.0264147546219098,0.0276916796978376,1.27160756207759E-4
703.030065,0.0264263926942927,0.0277038228920825,1.27287905468502E-4
703.063891,0.0264380232133478,0.0277159572990154,1.27415080540067E-4
703.097717,0.026449646164591,0.0277280829024275,1.2754228124587E-4
703.131543,0.0264612615335432,0.0277401996861166,1.27669507409086E-4
703.165368,0.0264728693057294,0.0277523076338868,1.27796758852658E-4
703.199193,0.0264844694666796,0.0277644067295486,1.27924035399286E-4
703.233018,0.026496062001928,0.0277764969569189,1.2805133687144E-4
703.266843,0.0265076468970138,0.0277885782998212,1.28178663091348E-4
703.300667,0.0265192241374807,0.0278006507420856,1.28306013881006E-4
